Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13821,Lord of Light,Roger Zelazny,"Zelazny, Roger",,"=""0060567236""","=""9780060567231""",0,4.06,Harper Voyager,Paperback,296,2010,1967,,2022/03/30,to-read,to-read (#85),to-read,,,,0,0
754001,They'd Rather Be Right,Mark Clifton,"Clifton, Mark",Frank Riley,"=""0898651654""","=""9780898651652""",0,3.02,Starblaze / The Donning Company,Paperback,173,1981,1954,,2022/03/30,to-read,to-read (#75),to-read,,,,0,0
76740,The Demolished Man,Alfred Bester,"Bester, Alfred",,"=""""","=""""",0,3.97,Millennium,Paperback,250,1999,1953,,2022/03/30,to-read,to-read (#74),to-read,,,,0,0
6597651,The Windup Girl,Paolo Bacigalupi,"Bacigalupi, Paolo",,"=""1597801577""","=""9781597801577""",0,3.75,Night Shade Books,Hardcover,359,2009,2009,,2022/03/30,to-read,to-read (#73),to-read,,,,0,0
4703581,The City & the City,China Miéville,"Miéville, China",,"=""0345497511""","=""9780345497512""",0,3.9,Del Rey/Ballantine Books,Hardcover,312,2009,2009,,2022/03/30,to-read,to-read (#72),to-read,,,,0,0
6506307,"Blackout (All Clear, #1)",Connie Willis,"Willis, Connie",,"=""0553803190""","=""9780553803198""",0,3.85,Spectra,Hardcover,491,2010,2010,,2022/03/30,to-read,to-read (#71),to-read,,,,0,0
8706185,Among Others,Jo Walton,"Walton, Jo",,"=""076532153X""","=""9780765321534""",0,3.71,Tor Books,Hardcover,304,2011,2011,,2022/03/30,to-read,to-read (#70),to-read,,,,0,0
33080122,"The Calculating Stars (Lady Astronaut Universe, #1)",Mary Robinette Kowal,"Kowal, Mary Robinette",,"=""""","=""""",0,3.96,Tor Books,Paperback,431,2018,2018,,2022/03/30,to-read,to-read (#68),to-read,,,,0,0
43798285,The Institute,Stephen        King,"King, Stephen",,"=""""","=""""",5,4.2,Scribner,Hardcover,561,2019,2019,2022/03/28,2022/02/19,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",0,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,2022/03/26,to-read,to-read (#66),to-read,,,,0,0
57693582,Hummingbird Salamander,Jeff VanderMeer,"VanderMeer, Jeff",,"=""1250829771""","=""9781250829771""",0,3.25,Picador Paper,Paperback,384,2022,2021,,2022/03/26,to-read,to-read (#64),to-read,,,,0,0
3249599,The Masks of God: Primitive Mythology,Joseph Campbell,"Campbell, Joseph",,"=""""","=""""",0,4.27,Penguin,Paperback,504,1959,1959,,2022/01/08,to-read,to-read (#63),to-read,,,,0,0
34630284,Leaves of Grass,Walt Whitman,"Whitman, Walt",,"=""1423647742""","=""9781423647744""",0,4.12,Gibbs Smith,Hardcover,414,2017,1855,,2022/01/15,to-read,to-read (#62),to-read,,,,0,0
18077769,"Authority (Southern Reach, #2)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104107""","=""9780374104108""",0,3.54,"Farrar, Straus and Giroux",Paperback,341,2014,2014,,2021/01/09,to-read,to-read (#61),to-read,,,,0,0
35231,"Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,"Jordan, Robert",,"=""0812513754""","=""9780812513752""",5,4.19,Tom Doherty Associates,Mass Market Paperback,1011,1995,1994,2022/03/23,2021/08/29,,,read,,,,1,0
509784,The End of Eternity,Isaac Asimov,"Asimov, Isaac",Apostol András,"=""0449016196""","=""9780449016190""",0,4.24,Fawcett Crest,Mass Market Paperback,192,1971,1955,,2022/03/06,to-read,to-read (#56),to-read,,,,0,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.07,Knopf,Hardcover,259,2022,2022,,2022/02/23,to-read,to-read (#55),to-read,,,,0,0
57693406,The Kaiju Preservation Society,John Scalzi,"Scalzi, John",,"=""0765389126""","=""9780765389121""",0,3.99,Tor Books,Hardcover,264,2022,2022,,2022/02/23,to-read,to-read (#54),to-read,,,,0,0
3973,"Ilium (Ilium, #1)",Dan Simmons,"Simmons, Dan",,"=""0380817926""","=""9780380817924""",0,4.04,HarperTorch,Mass Market Paperback,731,2005,2003,,2022/02/21,to-read,to-read (#53),to-read,,,,0,0
23452321,"New Spring (Wheel of Time, #0)",Robert Jordan,"Jordan, Robert",,"=""""","=""""",4,4.07,Tom Doherty Associates Tor Books,Mass Market Paperback,359,2005,2004,2022/02/19,2021/10/31,,,read,,,,1,0
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",0,4.31,Orbit,Paperback,592,2011,2011,,2022/02/19,to-read,to-read (#52),to-read,,,,0,0
40810591,"Supernova in the East (Hardcore History, #62-67)",Dan Carlin,"Carlin, Dan",,"=""""","=""""",5,4.69,,Audiobook,,2018,2018,2022/02/09,2022/01/20,,,read,,,,1,0
